indicativo,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,latitude,longitude
1400,0.0,34.4,16.7,102.5,26.6,46.7,39.9,42.0,38.8,81.4,21.8,47.199999999999996,61.4,76.2,81.39999999999999,83.4,108.0,9.2,109.4,102.4,98.2,33.0,57.8,25.400000000000002,42.92472222222222,-9.29138888888889
1428,410.6,154.4,74.2,227.6,124.39999999999999,150.1,96.2,88.6,237.9,91.5,53.1,76.9,143.8,197.7,112.2,133.5,162.4,19.1,126.4,171.9,184.6,90.5,98.0,99.89999999999999,42.88805555555555,-8.410555555555556
1437O,512.9,219.3,86.8,414.9,150.85625,158.4,0.0,0.0,0.0,199.8,51.4,64.3,222.3,177.1,150.85625,239.3,48.8,18.400000000000002,150.85625,150.85625,150.85625,150.85625,150.85625,150.85625,42.720555555555556,-8.923333333333332
1473A,275.8,116.3,49.2,161.1,119.10000000000001,75.7,72.2,88.89999999999999,224.0,107.4,56.6,44.7,142.9,208.29999999999998,130.4,121.4,198.9,16.5,161.7,188.7,154.79999999999998,79.7,73.5,55.900000000000006,42.73833333333334,-8.627222222222223
1475X,25.5,106.3,80.7,269.1,82.89999999999999,105.2,93.1,53.7,197.0,50.7,46.5,66.4,113.3,171.1,96.9,135.1,182.1,25.2,184.6,182.9,207.4,71.8,117.2,87.2,42.876111111111115,-8.555833333333334
1484C,430.7,100.2,66.5,202.20000000000002,113.6,106.2,93.1,85.2,228.9,125.60000000000001,62.6,56.800000000000004,188.5,144.60000000000002,129.20000000000002,132.5,186.8,9.6,207.9,213.2,253.4,148.2,96.39999999999999,98.2,42.43833333333333,-8.615833333333333
1495,478.7,127.8,78.39999999999999,215.2,122.2,91.3,110.4,83.5,284.7,108.3,75.39999999999999,55.6,237.7,121.1,112.3,143.3,199.1,13.0,217.0,246.8,244.7,102.6,59.800000000000004,101.4,42.23861111111111,-8.623888888888889
1505,199.5,88.6,99.5782608695652,95.8,50.3,93.1,59.0,62.8,186.0,78.3,77.3,122.6,165.0,132.3,71.1,62.1,147.5,15.399999999999999,120.60000000000001,150.0,80.0,91.6,75.6,65.8,43.11138888888889,-7.4575000000000005
1542,0.0,68.9,25.400000000000002,4.5,81.3,110.7,73.0,0.0,63.67619047619048,63.67619047619048,63.67619047619048,54.2,176.2,115.8,106.4,79.4,123.8,22.400000000000002,140.0,43.4,0.0,39.4,44.0,28.400000000000002,42.994166666666665,-6.4141666666666675
1549,116.8,25.7,11.2,82.7,15.1,47.8,42.800000000000004,37.4,84.0,20.0,23.400000000000002,36.9,97.0,41.8,32.9,61.0,91.6,14.4,55.0,82.4,57.8,21.8,18.6,16.2,42.56388888888888,-6.6
1631E,122.6,57.3,39.3,71.7,58.4,55.2,91.7,78.0,32.4,55.400000000000006,12.799999999999999,58.5,45.6,54.4,67.4,66.4,113.6,16.6,107.6,133.6,88.8,40.2,38.4,23.0,42.339444444444446,-7.2825
1690A,190.2,39.5,27.1,91.9,37.5,51.5,52.5,74.6,109.6,48.3,51.7,85.2,109.19999999999999,57.800000000000004,41.6,70.1,107.2,16.2,122.39999999999999,159.6,88.8,132.2,55.0,19.400000000000002,42.32527777777778,-7.859722222222222
1700X,329.8,42.3,38.7,97.9,68.7,67.0,72.9,64.1,88.6,66.8,61.2,65.2,141.2,58.7,66.1,93.0,165.0,9.100000000000001,155.7,130.5,153.8,126.9,87.5,48.5,42.421388888888885,-8.092500000000001
2030,92.2,11.600000000000001,36.800000000000004,63.8,84.5,31.0,20.5,90.0,103.7,46.4,51.0,50.0,83.4,86.2,50.2,37.2,71.2,15.8,72.6,102.6,129.4,73.0,48.2,10.399999999999999,41.775,-2.4830555555555556
2150H,272.1,28.3,90.4,30.5,91.39999999999999,40.6,51.2,96.95454545454545,154.3,72.2,90.0,99.0,275.8,107.8,0.0,118.6,230.6,45.2,0.0,29.0,96.95454545454545,146.0,127.19999999999999,32.8,41.19194444444444,-3.475277777777778
2235U,237.70000000000002,28.1,48.2,105.6,27.8,35.3,41.6,99.80000000000001,77.14347826086957,28.2,42.6,71.2,98.4,77.0,51.8,82.60000000000001,184.2,18.2,97.80000000000001,68.6,193.8,68.60000000000001,64.4,2.8000000000000003,42.870555555555555,-4.52
2331,117.2,11.1,57.1,74.3,44.7,61.9,38.5,59.2,100.0,41.3,29.3,89.7,117.9,34.9,56.5,42.7,126.8,13.0,79.0,85.2,106.4,56.199999999999996,77.6,15.200000000000001,42.356944444444444,-3.620277777777778
